shipment_id,region,transport_mode,carrier,month,shipment_volume,distance_km,delivery_time_days,transport_cost,weather_delay_days,handling_hours,on_time
S0001,East,Rail,Carrier A,Oct,104,294.0,2.68,214.79,0.0,4.3095256365144,1
S0002,South,Air,Carrier B,Sep,62,212.9,2.05,487.27,0.4,4.340254400951829,0
S0003,West,Air,Carrier A,Jan,59,144.5,1.9,362.47,0.0,3.516990472161142,0
S0004,East,Road,Carrier A,Feb,91,309.6,2.23,268.61,0.4,2.5448826659613326,1
S0005,North,Road,Carrier C,Aug,105,187.3,1.92,199.84,0.0,2.7605289348836766,1
S0006,West,Rail,Carrier B,Nov,81,218.8,1.98,185.03,0.0,2.195850038425041,1
S0007,East,Road,Carrier D,Feb,48,281.9,1.7,232.38,0.0,2.005226880971355,1
S0008,West,Rail,Carrier B,Mar,46,79.7,1.51,70.97,0.0,1.9555835116915676,1
S0009,North,Road,Carrier C,Jul,44,40.7,2.43,96.88,0.4,2.3819455932147924,1
S0010,South,Road,Carrier B,Feb,36,693.2,2.91,491.75,0.0,1.965279009315255,0
S0011,South,Road,Carrier C,Apr,83,295.3,2.68,257.83,0.9,1.436294881456851,1
S0012,West,Rail,Carrier C,Jan,108,267.3,2.39,168.79,0.4,3.2194026697539058,1
S0013,East,Road,Carrier B,Jun,80,138.0,2.48,222.37,0.4,3.234595580893437,1
S0014,West,Road,Carrier D,Sep,23,301.1,2.69,175.75,0.0,4.7007927584283165,1
S0015,South,Road,Carrier B,May,75,135.5,1.65,160.45,0.4,2.3316616316452974,1
S0016,North,Road,Carrier A,Apr,76,343.4,2.68,284.05,0.0,3.2961005896232707,1
S0017,East,Road,Carrier C,Jun,132,308.2,2.68,314.2,0.4,3.312712579274802,1
S0018,North,Rail,Carrier D,Jul,44,278.5,2.18,218.98,0.0,2.746162438874467,1
S0019,West,Road,Carrier A,Feb,70,323.9,2.66,335.4,0.0,3.7443335887496763,1
S0020,East,Rail,Carrier B,Feb,123,172.4,2.38,163.23,0.0,3.7752291868507144,1
S0021,East,Air,Carrier D,Mar,91,184.1,1.57,465.22,0.0,3.32741109519754,1
S0022,South,Road,Carrier C,Dec,94,353.4,2.52,321.0,0.0,2.7443602949522043,1
S0023,West,Road,Carrier D,Sep,83,243.7,2.3,185.08,0.4,2.642469891445465,1
S0024,West,Road,Carrier B,Feb,88,561.0,2.47,488.55,0.0,1.6322461012029408,1
S0025,East,Road,Carrier C,Apr,99,86.4,1.11,106.08,0.0,2.1940822213823084,1
S0026,North,Road,Carrier B,May,60,408.7,2.38,343.33,0.0,2.377992476098312,1
S0027,South,Air,Carrier D,Mar,102,293.0,2.43,618.12,0.4,1.876028237570566,1
S0028,North,Air,Carrier B,Nov,46,154.3,1.47,363.08,0.4,3.4399239666876644,1
S0029,North,Rail,Carrier C,Dec,88,363.5,3.11,243.87,0.0,4.19662786898701,1
S0030,East,Road,Carrier B,Mar,84,137.5,1.4,207.81,0.0,2.09193756767085,1
S0031,East,Rail,Carrier B,Jan,65,248.2,3.48,143.24,0.4,3.283441435744637,1
S0032,West,Rail,Carrier C,Apr,79,68.8,1.07,113.01,0.4,1.9658888604702898,1
S0033,South,Road,Carrier B,Jul,64,30.0,0.93,93.8,0.0,2.6950778290608377,0
S0034,South,Rail,Carrier D,Oct,53,180.1,1.29,133.32,0.0,2.3096704208222243,1
S0035,South,Road,Carrier B,May,71,177.9,2.06,225.43,0.4,3.6018956486064413,1
S0036,North,Road,Carrier C,Apr,52,192.5,1.29,237.09,0.0,2.3212118261578216,1
S0037,North,Road,Carrier B,Mar,88,429.1,2.85,354.93,0.4,4.011660413706647,1
S0038,South,Road,Carrier B,Jan,51,502.1,1.95,409.75,0.0,2.754279226337801,1
S0039,North,Road,Carrier B,Jan,98,321.8,2.83,295.7,0.4,2.350396290405169,1
S0040,East,Rail,Carrier A,Jun,50,409.0,2.17,215.39,0.0,1.746694737654837,1
S0041,South,Air,Carrier A,Aug,66,140.8,0.85,344.18,0.0,3.2532045102953497,1
S0042,West,Road,Carrier C,Jan,64,113.5,3.03,162.28,0.9,3.89521840222618,1
S0043,East,Rail,Carrier C,Mar,113,368.6,2.68,238.18,0.4,3.273321256536874,1
S0044,South,Air,Carrier C,Nov,88,100.0,2.41,349.29,0.4,5.238831666414423,1
S0045,West,Road,Carrier A,Dec,75,90.1,2.34,176.84,0.9,4.429787452470418,0
S0046,West,Road,Carrier B,Aug,92,900.0,4.44,574.2,0.0,2.6924722352829846,1
S0047,South,Road,Carrier A,Jul,27,271.8,2.24,180.32,0.0,2.681972566192931,1
S0048,South,Road,Carrier C,Jul,79,177.9,1.15,227.45,0.0,3.469696719485353,1
S0049,East,Rail,Carrier D,May,130,162.2,1.1,142.97,0.0,2.161980819574315,1
